object type,Title,Resource Type,Creator,Contributor,Description,Keyword,License,Rights Statement,Publisher,Date Created,Subject,Language,Identifier,Based Near,Related Url,Bibliographic Citation,Source,Visibility,files,deduplication_key
w,"Canoeing on Lake Harriet, Minneapolis with color bars",Image,Minneapolis Selling Company,"Bussey, Mark H.","Postcard depicting Lake Harriet in Minneapolis, MN with color bars",postcard|~|Minneapolis|~|Lake Harriet,http://creativecommons.org/publicdomain/mark/1.0/,http://rightsstatements.org/vocab/NoC-OKLR/1.0/,Minneapolis Selling Company,1900-1945,Postcards,English,PC-001,,,,,open,MN-02.png,PC-001
w,"Canoeing on Lake Harriet, Minneapolis",Image,Minneapolis Selling Company,"Bussey, Mark H.","Postcard depicting Lake Harriet in Minnneapolis, MN",postcard|~|Minneapolis|~|Lake Harriet,http://creativecommons.org/publicdomain/mark/1.0/,http://rightsstatements.org/vocab/NoC-OKLR/1.0/,Minneapolis Selling Company,1900-1945,Postcards,English,PC-002,,,,,open,MN-02 1.png|~|MN-02 2.png,PC-002
w,"Lake Harriet, Minneapolis, Minn",Image,Bloom Bros Co.,"Bussey, Mark H.",Postcard depicting Lake Harriet,postcard|~|Minneapolis|~|Lake Harriet,http://creativecommons.org/publicdomain/mark/1.0/,http://rightsstatements.org/vocab/NoC-OKLR/1.0/,Bloom Bros Co.,1900-1945,Postcards,English,PC-003,,,,,open,MN-02 3.png|~|MN-02 4.png,PC-003
w,"Art Museum, Minneapolis, Minn",Image,Bloom Bros Co.,"Bussey, Mark H.",Postcard depicting The Minneapolis Institute of Arts,postcard|~|Minneapolis|~|Art Museum,http://creativecommons.org/publicdomain/mark/1.0/,http://rightsstatements.org/vocab/NoC-OKLR/1.0/,Bloom Bros Co.,1900-1945,Postcards,English,PC-004,,,,,open,MN-02 5.png|~|MN-02 6.png,PC-004
w,"The Milling District by Moonlight over the Ice-bound Mississippi, Minneapolis, Minn",Image,VO Mammon Publishing,"Bussey, Mark H.",Postcard depicting the Milling District of Minneapolis at night,postcard|~|Minneapolis|~|Milling District,http://creativecommons.org/publicdomain/mark/1.0/,http://rightsstatements.org/vocab/NoC-OKLR/1.0/,VO Mamon Publishing,1900-1945,Postcards,English,PC-005,,,,,open,MN-02 7.png|~|MN-02 8.png,PC-005
w,"Business District, Minneapolis, MN",Image,The Rotograph Co. N.Y City,"Bussey, Mark H.",Postcard depicting the Business District of Minneapolis,postcard|~|Minneapolis|~|Business District,http://creativecommons.org/publicdomain/mark/1.0/,http://rightsstatements.org/vocab/NoC-OKLR/1.0/,The Rotograph Co. N.Y City,1900-1945,Postcards,English,PC-006,,,,,open,MN-02 9.png|~|MN-02 10.png,PC-006
w,Minnehaha Falls,Image,Unknown,"Bussey, Mark H.",Postcard depicting Minnehaha Falls in Minneapolis,postcard|~|Minneapolis|~|Minnehaha Falls,http://creativecommons.org/publicdomain/mark/1.0/,http://rightsstatements.org/vocab/NoC-OKLR/1.0/,,1900-1945,Postcards,English,PC-007,,,,,open,MN-02 11.png|~|MN-02 12.png,PC-007
w,"Beautiful Minnehaha Falls, Minneapolis, Minn",Image,Kiwanis International,"Bussey, Mark H.",Postcard depicting Minnehaha Falls in Minneapolis,postcard|~|Minneapolis|~|Minnehaha Falls,http://creativecommons.org/publicdomain/mark/1.0/,http://rightsstatements.org/vocab/NoC-OKLR/1.0/,Kiwanis International,1900-1945,Postcards,English,PC-008,,,,,open,MN-02 13.png|~|MN-02 14.png,PC-008
w,"Twin City R. T Co. Power House and Dam, Mississippi River",Image,Curt Teich & Co,"Bussey, Mark H.",Postcard depicting R. T Co. Power House and Dam in Minneapolis,postcard|~|Minneapolis|~|Mississippi River|~|power house|~|dam,http://creativecommons.org/publicdomain/mark/1.0/,http://rightsstatements.org/vocab/NoC-OKLR/1.0/,Curt Teich & Co,1900-1945,Postcards,English,PC-009,,,,,open,MN-02 15.png|~|MN-02 16.png,PC-009
w,"Hennepin Ave from 8th St., Minneapolis",Image,"Grogan Photo System, Inc","Bussey, Mark H.",Postcard depicting Hennepin Ave. in Minneapolis,postcard|~|Minneapolis|~|Hennepin Ave,http://creativecommons.org/publicdomain/mark/1.0/,http://rightsstatements.org/vocab/NoC-OKLR/1.0/,"Grogan Photo System, Inc",1900-1945,Postcards,English,PC-010,,,,,open,MN-02 17.png|~|MN-02 18.png,PC-010
w,"Bird's Eye View of Minneapolis, Minn., By Night",Image,Bloom Bros Co.,"Bussey, Mark H.",Postcard depicting Minneapolis from a bird's eye view,postcard|~|Minneapolis|~|downtown,http://creativecommons.org/publicdomain/mark/1.0/,http://rightsstatements.org/vocab/NoC-OKLR/1.0/,Bloom Bros Co.,1900-1945,Postcards,English,PC-011,,,,,open,MN-02 19.png|~|MN-02 20.png,PC-011
w,"Third Ave. Bridge, Minneapolis",Image,"Grogan Photo System, Inc","Bussey, Mark H.",Postcard depicting Third Ave. Bridge in Minneapolis,postcard|~|Minneapolis|~|Third Avenue|~|bridge,http://creativecommons.org/publicdomain/mark/1.0/,http://rightsstatements.org/vocab/NoC-OKLR/1.0/,"Grogan Photo System, Inc",1900-1945,Postcards,English,PC-012,,,,,open,MN-02 21.png|~|MN-02 22.png,PC-012
c,Minneapolis postcards,,,,,,,,,,,,,,,,,,,